TITLE,AUTHOR,TRANSLATOR,PUBLICATION,CATEGORY,IMAGE,URL
Couvent (le) de Sainte-Catherine,Anne Radcliffe,madame la baronne Carolie A.,1810,1; 2,,
Crimes (les) de Robespierre ,Desessarts,,1818,,,
"Crimes et mystère, ou les grands coupables",madame M***,,1819,,,
Cultivateur (le) de la Louisiane,Lamartellière,,1804,,,
"Curé (le) capitaine, ou les folies françaises",Raban,,1819,,,
"Damarisse, ou le bienfaiteur inconnu",madame la baronne de Cuzey,,1819,2,,
Dame (la) du lac,Walter Scott,madame Elisabeth de Bon,1813,1,,
"Dame (la) grise, ou histoire de la maison de Beauchamp",madame P***,,1816,,,
"Dame (la) masquée, ou malheur et prospérité",madame Guénard,,1820,1,,
"Damis, ou l'éducation du coeur",Hugues Millot,,1820,3,,
"Danger (le) d'aimer un étranger, ou histoire de milady Chester et d'un duc français ",anonyme,,1783,,,
Dangers (les) de la frivolités,anonyme,,1810,,,
Dangers (les) de la galanterie,,,,,,
"Dangers (les) de la prévention, roman anecdotique",madame Gacon Dufour,,1816,,,
"Danger (le) de l'enthousiasme, ou les illusions de la vie ",,,1802,,,
Dangers (les) de l'intrigue ,J. de La Vallée,,1798,2,,
"Danger (le) des liaisons, ou mémoires de la baronne de Blamont",madame de S. A. ,,1808,,,
Danger (le) d'un premier amour,M. de P..Y,,1813,,,
Daphnis et Chloé,Longus,Amiot,,,,
Décaméron,Bocace,,,,,
De l'Allemagne,madame de Staël-Holstein,,1819,1,,
"Delia, ou les deux cousines",Brinsley Sheridan,T. P. Bertin,1817,,,
"Délices (les) de la solitude, puisés dans l'étude et dans la contemplation de la nature",Canole,,1799,,,
De l'Influence des femmes sur la littérature,madame de Genlis,,1811,1; 3,,
Delphine,madame de Staël-Holstein ,,1816,1,,
De l'usage des Romans où l'on fait voir leur utilité et leurs différens caractères,Langlet Dufrenoy,,1734,,,
"Denneville, ou l'homme tel qu'il devrait être",Darnaud,,1802,,,
"Député (le), aventure récente",Scipion M*,,1821,,,
"Dernière (la) Héloïse, ou Lettres de Junie Salisbury",Dauphin,,1790,,,
Dernier (le) Tableau de famille,Auguste Lafontaine,Henriette Belmann,1821,1,,
"Dertebeau, ou l'avocat des femmes, aventures-galantes et véritables",Rouergue,,1808,,,
Derviche (le) conte oriental,M. de Boufflers,,,,,
Désespérés (les),anonyme,anonyme,1813,,,
Désobéissance (la),,,,,,
"Des Romans; suivi de Gustave, et autres nouvelles",A. H. Dampmartin,,1803,,,
"Deux (les) amis, ou la maison mystérieuse",Auguste Lafontaine,madame de Montholon,1819,1,,
Deux (les) amis,madame la duchesse de Pienne,,1804,,,
"Deux années de souffrance, ou histoire de la famille de Blancoff ",J. S. Cangrose de Plantale,,1817,,,
Deux (les) Borgnes,madame Bournon Malarme,,1809,,,
"Deux (les) Casimir, ou vingt ans de captivité",madame Barthelemy Hadot ,,1814,1; 3,,
"Deux (les) Edouard, ou la ressemblance",anonyme,,1820,,,
"Deux (les)' Emilie, ou les aventures du duc et de la duchesse d'Aberden",anonyme,Christophe,1800,,,
"Deux (les) Eugène, ou dix-sept pères pour un enfant",anonyme,,1819,,,
Deux (les) Fiancées,Auguste Lafontaine,M. de Propiac,1810,1,,
Deux (les) Griselidis,miss Edgeworth,anonyme,1814,1; 3,,
Deux (les) Hector ou les deux familles bretonnes,Auguste Viellergé,,1821,,,
Deux (les) insulaires,madame de Narp,,1802,,,
"Deux (les) Soeurs, ou mémoires de la marquise de Valcourt ",Brument,,1803,,,
Deux (les) Soeurs rivales ,anonyme,,1803,,,
"Devoir (le), roman de mistriss Roberts",miss Opie,madame Elisabeth de Bon,1817,1; 3,,
"D'Harcourt, ou l'héritier supposé",Mary Robinson,,1798,,,
Diable (le) boiteux augmenté des Entretiens sérieux et comiques des Cheminées de Madrid,Lesage,,1820,1; 3,,
Diable (le) histoire satyrique,anonyme,anonyme,1802,,,
"Dictionnaire (le) abrégé de la Fable, pour l'intelligence des poètes des tableaux et des statues",Choinpré,,1809,3,,
Dictionnaire contenant les anecdotes historiques d'amour,anonyme,,1814,,,
"Dictionnaire d'amour, orné d'une jolie gravure et d'un frontispice gravé ",anonyme,,1820,,,
"Dictionnaire d'anecdotes de traits singuliers, caractéristiques et historiques",anonyme,,1808,3,,
Dictionnaire (le) des romans anciens et modernes,A. Marc,,1819,,,
Dictionnaire universel de la France,Robert de Hesseln,,1771,,,
Dieu le Roi et la Patrie ou l'Ermitage Saint-Jacques ,Ducray-Duminil,,1815,1; 3,,
"Dieu, l'Honneur et les Dames",Paccard,,1813,,,
"Dissipatrice (la), ou lady Helenn et lady Anna",miss Opie,T. P. Bertin,1815,3,,
Dix-huit mois d'un siécle ,M. M***,,,,,
Dix journées de la vie d'Alphonse Wanworden ,comte J. potocs,,1814,,,
"Dix-sept (les) mariages, ou la colonie du bonheur",M. Labenette,,1805,,,
Donald Campbell,,,,,,
Dolbreuse ou l'homme du siècle,Loaisel Treogate,,1794,,,
"Donjon (le) de la forêt de Beauregard, ou les victimes de la perversité",Paccard,,1817,,,
Don Manuel; anecdole espagnole,M. de R.,,1821,2,,
Don Quichotte,Cervantès,Bouchon Dubournial,1807,1; 2; 3,,
Don Sébastien; roi de Portugal; roman historique,miss Anna Maria Porter,anonyme,1820,1,,
Dot (la) de Suzette,Fiévée,,1821,2,,
Douze Nouvelles,madame de Montolieu,,1812,1; 3,,
Doyen (le) de Killerine,abbé Prévost,,1821,1,,
"Dubreuil et Mélanie, ou les revers de la fortune",Ducray jeune,,1812,,,
Duc (le) de Guise; roman historique ,anonyme,,1814,,,
Duc (le) de Lauzun,madame Sartory de Wimpffen,,1818,,,
"Duchesse (la) Anne, ou les souterrains de Raoul II ",anonyme,,1821,,,
"Duchesse (la) de Mazarin, ou mémoires écrits par elle-même",anonyme,,,,,
"Duels, Suicides et Amours du bois de Boulogne",Cuisin,,1820,,,
"Echo (l') des salons de Paris, depuis la restauration ou recueil d'anecdotes sur Bonaparte",anonyme,,1815,,,
Ecole historique et morale du soldat et de l'officier,Béranger,,1788,3,,
"Ecolier (l') de Brienne, on le chambellan indiscret",M. le baron de B*,,1817,,,
Edelmone et Lorédan; ou l'orange de Malte,Paccard,,1817,,,
"Edmond et Juliette, on les amans somnambules",madame Vanhove,,1820,,,
"Edouard de Berville, ou aventures d'un étourdi",anonyme,,1804,,,
"Edouard de Winter, ou miroir du coeur humain",Auguste Lafontaine,Duperche,1818,1,,
"Edouard et Arabelle, ou l'élève de l'infortune et de l'amour",Desforges,,1799,,,
"Edouard et Clémentine, ou les erreurs, de la jeunesse",madame de Narp,,1802,,,
"Edouard et Elfride, ou la comtesse de Salisbury",M. Plancher de Valcourt,,1816,,,
"Edouard et Lydie, ou la grotte de Sanghwar",anonyme,,1803,,,
"Eglay, ou amour et plaisir",M. Legay,,1821,1; 2,,
Eglise (l') de Saint-Siffride,anonyme,anonyme,1800,2,,
Egoïsme ou nous le sommes tous,Pigault-Lebrun,,1819,1,,
"Eléonore et Sophie, ou les leçons de l'amitié",anonyme,,1809,3,,
"Eléonore, ou la belle blanchisseuse",madame Guénard,,1807,1,,
Elève (I') de la nature,Beaurieu,,1796,,,
Elfrida ou l'ambition paternelle,anonyme,anonyme,1798,,,
"Elfride, on les suites d'un duel",madame de ***,,1821,,,
"Eliza de Mérival, ou mémoires d'une jeune femme",M. le comte César du Bouchet,,1821,,,
Elival et Caroline,M. le comte de Lacépède,,1817,,,
"Elisabeth, ou les exilés en Sibérie",madame Cottin ,,1817,1,,
"Elisa, ou mémoires de la famille Elderland",anonyme,M. J. F. Bertin,1799,,,
"Elle et moi, ou folie et sagesse",A. A. de Beaufort,,1800,,,
"Ellesmer, ou le danger de la légèreté",anonyme,madame de St.-H,1814,,,
"Elmonde, ou la fille de l'hospice",Ducray-Duminil,,1812,1,,
"Elvire, ou la femme innocente et perdue ",madame de Choiseul-Meuse,,1809,3,,
Elwina,anonyme,M. M***,1813,,,
"Emile et Rosalie, ou les époux amans",madame Elisabeth C***,,1820,,,
"Emile, ou de l'éducation",Jean-Jacques Rousseau,,1791,,,
"Emilia, ou la ferme des Apennins",madame Armande Roland,,1812,1,,
"Emilia, ou le danger de l'exaltation ",anonyme,,1817,,,
Emilie de Coulanges,miss Edgeworth,anonyme,1817,1; 3,,
"Emilie de Varmont, ou le divorce nécessaire",Louvet de Couvray,,1794,,,
Emilie et Alphonse,madame de Flahaut,,1803,1,,
Emilie Fitz-Osborn,anonyme,madame de L.,1805,,,
"Emma et Saint-Aubin, on caractères et scènes de la vie privée",miss Opie,anonyme,1813,3,,
Emma ou l'enfant du malheur,anonyme,anonyme,1795,,,
Emmeline,,,,,,
Emmerich; cours de morale en action,madame de Montolieu,,1810,1; 3,,
Empire (l') des Naïrs,,,,,,
Enchantements (les) et métamorphoses des génies et des fées ,anonyme,,,3,,
"Encyclopédie comique, ou recueil de gaités",anonyme,T. P. Bertin,1803,,,
Enfant (l') de la chaumière de Munster,Maria Regina Roche,Louise G. de C.,1821,1,,
"Enfant (l') de la révolution, ou quelques scènes d'un grand drame",M. Lhomme St.-Alphonse,,1819,2,,
"Enfant (l') du boulevard, ou mémoires de la comtesse de Tourville",,,1819,,,
"Enfant du carnaval histoire remarquable, et surtout véritable",Pigault-Lebrun,,1818,1,,
Enfans (les) de l'abbaye,Maria Régina Roche,abbé Morellet,,1; 2,,
Enfans (les) de Maurice,,,,,,
Ennui (l') ou mémoires du comte de Glenthorn,miss Edgeworth,anonyme,1812,1; 3,,
Entre chien et loup,madame de Choiseul-Meuse,,1809,4,,
Envieux (l') et sa victime,M. Legay,,1818,1,,
"Epouse (l') du bandit, ou la fille de Saxe",anonyme,anonyme,1819,2,,
"Epoux (l') parisien, ou le Bonhomme",Raban,,1820,,,
"Epoux (les) malheureux, ou mémoires de Labedoyère",D'Arnaud,,1803,,,
Epoux (les) philosophes ,madame Vanesbecq,,1808,,,
Epreuves (les) du sentiment,D'Arnaud,,1742,2,,
"Ermance de Beaufremont, comtesse de Gatinais",madame Gottis,,1818,2,,
"Ermitage (l') Saint-Jacques ou Dieu, le Roi et la patrie",Ducray-Duminil,,1815,1; 3,,
"Ermite (l') de la roche noire, ou lettres de la marquise de Lausanne et du comte de Luzi",M. le Pileur Dapligny,,1820,2,,
"Ermite (l') de la Vallée de Luz, ou les désespérés",M. Legay,,,1,,
"Ermite (l') du Marais, ou le rentier observateur",Paccard,,1819,,,
"Ermite (l') du Mont Saint-Valentin, ou histoire des amours de la dame de Martigues et du chevalier Roger de Parthenay",madame de Tercy,,1821,,,
"Ernest de Saint-Olmer, ou les épreuves de l'adversité",madame Vanesbecq,,1813,,,
"Ernest de Vendôme, ou le prisonnier de Vincennes",madame Barthelemy Hadot ,,1818,1; 3,,
Ernest et Lydie,madame de Narp,,1813,,,
Erreur et Mystère ,madame de Vildé,,1813,,,
"Erreur (l') reconnue, ou les aventures d'un jeune Français dans ses voyages ",anonyme,,1793,,,
Estévanille de Gonzalez,,,,,,
"Ethelinde, ou la recluse du lac",Charlotte Smith,anonyme,1805,,,
Ethelwina,M. Horstley,Octave Ségur,1802,2,,
Etranger (l') ou la famille LIewellyn,anonyme,anonyme,1802,,,
Etude (l') du coeur humain; suivi des Cinq premières semaines d'un journal écrit sur les Pyrénées ,madame de Genlis,,1802,1; 3,,
"Eugène de Montferrier, ou les moeurs du XIXe siècle",J. B. J.,,1821,,,
Eugène de Nerval ou le tuteur infidèle,madame Guénard,,1814,1,,
Eugène de Rothelin,madame de Flahaut,,1810,1,,
"Eugène de Senneville, et Guillaume Delorme",,,,,,
"Eugène et Alvina, ou les victimes de l'intolérance",Paccard,,1811,,,
"Eugène et Julie, ou les souterrains de la Hague",C. L. M,,1799,,,
Eugénie et Mathilde ou mémoires de la famille du comte de Revel,madame de Flahaut,,1812,1,,
Eugénio et Virginia ,madame Louise Brayer de Saint-Léon,,1813,1,,
"Eugénie, ou la résignation",Sophie de Laroche,madame de Polier,1797,,,
"Eugénie, ou les torts pardonnés",M. A. A. G***,,1818,,,
"Eugénie, ou l'héroïsme de la reconnaissance",M. C/ L. B. ,,1819,,,
"Euphémie, ou les suites du siège de Lyon ",madame de Morency,,1802,,,
"Eva, ou amour et religion ",anonyme,anonyme,1818,,,
"Evelina, ou l'entrée d'une jeune personne dans le monde",miss Burney,anonyme,1816,1,,
Exaltation et piété,madame de Montolieu,,1818,1; 3,,
Exploits des marins français,Chemin-Dupontès,,1805,,,
Extrait des Mémoires du marquis de Dangeau,madame de Sartory,,1817,,,
"Faiblesses (les) d'une jolie femme, ou mémoires de madame de Villefranc",anonyme,,1789,4,,
"Falkemberg, ou l'oncle",Auguste Lafontaine,madame de Montolieu,,1,,
"Famille (la) allemande, ou la destinée",madame de Choiseul-Meuse,,1815,3,,
"Famille (la) de Clarenville, ou le fils du bourreau",Rougemaître de Dieuze,,1813,2,,
Famille  (la) de Jennemours,,,,,,
"Famille (la) de Tilbury, ou la caverne de Wolicy",madame Bournon Malarme,,1816,,,
Famille (la) des menteurs ,Sewrin,,1802,,,
"Famille (la) en fuite, ou les morts vivants",Auguste Lafontaine,Duperche,1819,1,,
"Famille (la) Fitzer, ou le jeune tartuffe",L. Julien Breton,,1803,,,
Famille (la) Lucéval,Pigault-Lebrun,,1819,1,,
Famille (la) napolitaine,anonyme,anonyme,1800,,,
Famille (la) Saint-.Julien aux bains de Rockbeach,Bresou de Cocove,,,,,
"Famille  (la) Vampol, ou les effets de la démoralisation",Letournel,,1816,,,
"Famille  (la) Wiéland, ou les prodiges",Pigault-Montbaillarcq ,,1808,,,
"Fanelli, ou l'orphelin sans l'être",Levallois,,1814,,,
"Fanny de Varicourt, ou le danger des soupçons ",anonyme,,1821,,,
"Fanny, ou mémoires d'une jeune orpheline",miss Edgeworth,R. J. Durdent,1812,1; 3,,
"Fantasmagoriana, ou recueil d'histoires, d'apparitions, de spectres",anonyme,Eyriès,1812,,,
"Fantômes (les) nocturnes, ou les terreurs des coupables",Cuisin,,1821,,,
"FarvilIe, ou blanc et couleur de rose",Raban,,1819,,,
Faublas,,,,,,
"Fausses (les) apparences, ou le père inconnu",anonyme,madame Elisabeth de Bon,1817,1,,
Faux (le) ami,Mary Robinson,anonyme,1799,2,,
"Faux (le) Ermite, ou les victimes de la fatalité",Ducray jeune,,1818,,,
Fathom et Melvil ,Smollet,,1798,,,
Fédaretta,anonyme,madame G.,1806,,,
"Felicia, ou mes fredaines",Andréa de Nerciat,,,4,,
Félicie de Vilmar,Pierre Blanchard,,1798,2; 3,,
Félicie et Florestine,,,1803,,,
"Femme (la) auteur, ou les inconvénients de la célébrité ",madame Dufrenoy,,1812,,,
"Femme (la) de bon sens, ou la prisonnière de Bohême",,B. Ducos,1798,,,
Femme (la) errante,miss Barney,,1815,,,
"Femme (la), ou Ida l'Athénienne ",lady Morgan,,1817,,,
Femme (la) infidèle,Maribert-Courtenay,,1786,,,
"Femmes (les) entretenues, dévoilées dans leurs fourberies galantes",Cuisin,,1821,,,
"Femmes (les), leur condition et leur influence dans l'ordre social ",victome A. de Ségur,,1819,2,,
"Femmes (les), ou rien de trop",docteur Mathurin,madame Elisabeth de Bon,1820,1,,
Fenêtre (la) du grenier de mon oncle,Lewis,Benjamin Laroche,1821,,,
"Ferme (la) aux abeilles, ou les fleurs de lys",madame de Montolieu,,1814,1; 3,,
"Fermier (le) de la forêt d'Inglewood, ou les effets de l'ambition",mistriss Helme,anonyme,1818,1,,
"Fernand d'Alcantara, ou la vallée de Ronceveaux",madame Barthelemy Hadot ,,1819,1; 3,,
"Ferrandino, fin des aventures de Rinaldo Rinaldiri, chef de brigands",anonyme,anonyme,1816,,,
"Fiancée (la) de Lammermoor, contes de mon hôte",Walter Scott,anonyme,1821,1,,
"Fille (la) de la fille d'honneur, ou la famille Palvoisin",anonyme,,,,,
Fille (la) de Dieu ou l'héroïne dés Pyrénées ,madame B***,,1821,,,
Fille (la) du hameau ,Maria Régina Roche,M…,1803,1,,
"Fille (la) militaire, ou les amants provençaux",anonyme,,1805,,,
Fille (la) sans souci,madame Guénard,,1818,1; 4,,
"Fils  (le) banni, ou la retraite des brigands",Maria Régina Roche,M…,1820,1,,
Fils (le) du bourreau,,,,,,
"Fiorella, ou l'influence du cotillon",Lamartellière,,1802,2,,
Fleetwood,Williams Godwin,Villeterque,1805,2,,
Fleming fils; ou la manie des systèmes,Auguste Lafontaine,madame de Cérenville,1803,1,,
"Florence Macarthy, histoire  irlandaise",lady Morgan,anonyme,1819,,,
"Florentin et Rosine, ou l'orphelin des Vosges",Schilling,,1795,,,
Florian,,,,,,
Folie (la) espagnole,Pigault-Lebrun,,1820,1,,
"Folie et Jeunesse, ou aventures d'un jeune militaire",Warnet,,1818,4,,
Folie et Raison,Brissot-de-Warville,,1815,4,,
Fontaine (la) Sainte-Catherine ,Ducray-Duminil,,1814,1; 3,,
"Forester, ou la manie de l'indépendance suivi d'Angélina, ou l'amie inconnue",miss Edgeworth,anonyme,1821,1; 3,,
Forêt (la) de Hohenelbe ou Albert de Veltzlard,H. D. ,,1807,2,,
Forêt de Montalbano,madame P.,,1813,2,,
"Forêt (la) mystérieuse, ou la Sybille prophétesse",Chomel,,1820,2,,
"Forêt (la) noire, ou les aventures de M. de Luzy",M. Legay,,1821,1,,
Forêt (la) ou l'abbaye de Saint-Clair ,Anne Radcliffe,,1820,1,,
"Forges (les) mystérieuses, ou l'amour alchimiste",madame Guénard,,1819,1; 2; 4,,
"Françaises (les), nouvelles",madame Dufrenoy,,1786,,,
François Ier et  Madame de Châteaubriand,madame Augustine Gottis,,1816,2,,
"Fratricide (le), on les mystères de Dusseldorf",Maria Makensie,F. T. Delbare,1799,,,
"Frédéric de Guéréard, duc de Lorraine",E. F. Varez,,1808,,,
"Frédéric Latimer, ou histoire d'un jeune homme à la mode",anonyme,anonyme,1801,,,
"Frèr (le) et la Soeur, ou le repentir",Auguste Lafontaine,madame de Montholon,1819,1,,
Frères (les) anglais,anonyme,madame Elisabeth de Bon,1814,1,,
Frères (les) hongrois,miss Anna Maria Porter,madame Elisabeth de Bon,1818,1,,
"Frères (les) jumeaux, ou la ressemblance",mademoiselle Adélaïde G. de C.,,1814,,,
Fruits (les) amers du philosophisme ,anonyme,abbé de B***,1821,,,
Fugitive (la) de la forêt,anonyme,anonyme,1803,,,
Funestes (les) Égaremens,anonyme,madame Collet,1820,,,
Fureurs (les) de l'amour,anonyme,Berlin,1809,,,
Futur (le) gendre à  l'épreuve,comte d'Almanville,,1814,,,
Gabriel Venance son histoire écrite par lui-même,Auger Saint-Hippolyte,,1820,4,,
"Gages (les) touchés, ou recueil d'histoires",anonyme,,1805,,,
Gageure (la) dangereuse,madame …,,1798,,,
"Galanteriana,  ou choix de propos joyeux et d'anecdotes galantes",anonyme,,1814,4,,
"Galerie militaire, ou notices historiques sur les généraux, vice-amiraux, etc. ",Fr. Babier & L. Beaumont,,1805,,,
Garçon (le) sans souci,Pigault-Lebrun,,1818,1,,
"Gaspard Bancks, ou la jeunesse d'un Anglais",anonyme,Moreau,1819,,,
Gaudence de Lucques,,,,,,
Geneviève et Siffrid; correspondance inédite ,M. L. D. B.,,1810,,,
"Geneviève, ou la grande chaumière",mademoiselle Barbereux-de-Châteaudun,,1816,,,
"Georgéana, ou. la vertu persécutée et triomphante",anonyme,anonyme,,,,
"Georgette, ou la nièce du Tabellion",Ch. Paul de Kock,,1821,2,,
"Géraldina, nouvelle récente",anonyme,anonyme,1799,,,
Géraldine,madame Saint-H***,,1811,,,
Gerard de Nevers,,,,,,
Germaine ,anonyme,,1804,,,
"Glorwina, on la jeune irlandaise; histoire nationale",lady Morgan,madame Elisabeth de Bon,1813,1,,
Gonzalve de Cordoue,,,,,,
Grandisson,,,,,,
Grigri; histoire véritable,abbé de ***,,,4,,
Gilblas,,,,,,
"Grotte (la) de Wesbury, ou Mathilde et Valcourt",madame de Cérenville,,1809,,,
"Grottes (les) de Chartres, ou Clémentine",madame d'H.,,1811,,,
"Guillaume de Nassau, ou la fondation des Provinces Unies",Bitaubé,,1775,,,
"Guillaume Penn, ou les premiers colons de la Pennsylvanie ",madame Barthelemy Hadot ,,1816,1; 3,,
Gulliver,,,,3,,
Gusman,,,,,,
"Gustave, ou le mauvais sujet",Ch. Paul de Kock,,1821,2,,
"Guy Manneriug, astrologue; nouvelle écossaise",Walter Scott,Martin,1821,1,,
Habitans (les) de l'Ukraine ou Alexis et Constantin,madame la comtesse Beaufort d'Hautpoul,,1820,,,
"Habitant (l') des tombeaux, ou le mari coupable ",,,1803,,,
"Habitante (l') des ruines, ou l'apparition du dominicain",mademoiselle Castellarat,,1813,,,
"Habit (l') de cour, ou le moraliste de nouvelle étoffe",Armand S***,,,,,
"Haines (les) de famille, ou les époux sans l'être",Everat,,1817,,,
Hannibal,madame Bounon Malarme,,1808,,,
"Harley, ou l'homme sensible",J. N. Plane,,1797,,,
Harrington,miss Edgeworth ,Charles Aug. Def…,1817,1; 3,,
Hector Martin,Deck** D**,,1801,4,,
"Hélèna Haldenar, ou le Bigame",madame Bournon Malarme,,1810,,,
Héloïse et Abeilard,,,,,,
"Henri Bennet et Julie Johson, ou les esquisses du coeur",anonyme,anonyme,1794,,,
"Henri II, duc de Montmorency",Regnault-Warin,,1816,,,
"Henri et Amélie, ou l'héritage inattendu",Auguste Lafontaine,anonyme,1802,1,,
"Henri, on l'amitié",Auguste Lafontaine,anonyme,1811,1,,
"Henri Saint-Léger, ou les caprices de la fortune",Henri Siddons,M. P. ,1807,,,
Henry,anonyme,B. Ducos,1799,,,
Héritiers (les) des ducs de Bouillon,madame Barthelemy Hadot ,,1816,1; 3,,
"Herman d'Unna, ou aventures arrivées au commencement du XVe siècle",baron de Bock,,1801,2,,
"Hermione, ou journal de deux orplielines",anonyme,anonyme,1803,2,,
Héroïne (l') moldave,madame Gacon Dufour,,1818,,,
Héroïsme (l') de l'amour,,,,,,
Héros (les) comiques; nouvelles adressées aux dames,mademoiselle de Sénancourt,,1820,,,
"Hervey, ou l'homme de la nature",Auguste Lafontaine,Rougemaître,1818,1,,
"Heureux (l') Parisien, ou esquisses des moeurs XVIIIe siècle",E…y,,1809,4,,
Histoire amoureuse de la cour d'Angleterre,anonyme,,1820,4,,
Histoire amoureuse de madame de Maintenon,Bussy Rabutin,,1815,4,,
Histoire amoureuse des Gaules,Bussy Rabutin,,1754,4,,
Histoire d'Agathe de Saint-Bohaire ,anonyme,,1769,,,
Histoire d'Agathon,Wiéland,anonyme,1802,2,,
"Histoire d'Ayder Alikan, roi des Canaries",anonyme,,1773,,,
"Histoire de don Ranucio d'Alétès, écrite par lui-mêm",anonyme,,1758,,,
Histoire de Gil Blas de Santillane,Lesage,,1819,1; 3,,
Histoire de Gusman d'Alfarache,Lesage,,1787,3; 4,,
"Histoire de Julie de Mandeville, ou lettres traduites de l'anglais",M. B. ,,1764,,,
Histoire de la conjuration de Maximilien Robespierre,Montjoie,,1801,1,,
Histoire de la famille Jennemours,P. C. ,,1811,,,
Histoire de la famille Montelle,madame P…val…,,1819,2,,
"Histoire de Laurent Marcel, ou l'observateur sans préjugé ",anonyme,,1781,4,,
Histoire de madame de Maintenon et de la Cour de Louis XIV,anonyme,,1820,,,
Histoire de madame de Palastro ,madame Adèle de Chemin,,1813,,,
"Histoire de Marie Stuart, reine de France, d'Angleterre et d'Ecosse",Ch. Mercier de Compiègne,,1820,2; 3,,
Histoire d'Emilie Montague,M. Brooke ,M. Fernais ,1770,,,
Histoire de miss Elise Warwick,anonyme,anonyme,1781,,,
Histoire de miss Mordaunt,anonyme,anonyme,1788,,,
"Histoire de Pierre Terrail, dit le Chevalier Bayard sans peur et sans reproche",M. Guyard de Berville,,1819,,,
"Histoire de plusieurs aventuriers fameux, depuis la plus haute antiquité jusqu'à ces derniers temps",N. L. P.,,1815,,,
Histoire de Pugaschew ,mademoiselle Adélaïde Hordé,,1809,,,
Histoire de Quatre Espagnols,Montjoie,,1810,1,,
Histoire des deux Faux Dauphins,Alphonse de Beauchamp,,,,,
"Histoire des femmes, depuis la plus haute antiquité jusqu'à nos jours",anonyme,Cantwel,1791,,,
"Histoire des Naufrages, ou recueil des relations les plus intéressantes",J. B. Eyriès,,1818,2; 3,,
Histoire de Sophie et d'Ursule,madame de Charnois ,,1789,,,
Histoire des prisonniers célèbres,M. Paul de P…,,1821,,,
"Histoire d'Estévanille Gonzalez, surnommé le garçon de bonne humeur ",anonyme,,1792,,,
Histoire des prisons de Paris et des départemens,Nougaret,,1797,3,,
Histoire des vampires et des spectres malfaisants,anonyme,,1820,,,
Histoire ou Biographie universelle des souverains qui ont péri d'une mort violente,anonyme,,1820,,,
"Histoire d'Eugénie Bedfort, ou le mariage cru impossible",madame Bounon Malarme,,1784,,,
Histoire d'Henri-le-Grand ,madame de Genlis,,1816,1; 3,,
Histoire d'Henri-le-Grand,Péréfixe,,1816,3,,
"Histoire d'Hippolyte, comte de Duglas",madame D'Aunoy,,,3,,
Histoire d'Inès de Léon,Montjoie,,1805,1,,
Histoire du chevalier des Grieux et de Manon Lescaut,abbé Prévost,,1756,1; 4,,
"Histoire du chevalier du Soleil, de son frère Rosiclair et de leurs descendants",anonyme,,1780,,,
Histoire du chevalier Grandisson ,Samuel Richardson,anonyme,,1; 3,,
"Histoire du comte Roderigo de V* suivi du jeune Fruitier du lac de Jouy, et du château de Grandson",madame de Montolieu,,1818,1; 3,,
Histoire du marquis de Séligny et de mad. de Luzal,M. le maréchal de M. L. C. D,,1790,,,
Histoire d'une famille,M. Dorson,,1798,,,
Histoire d'une Grecque moderne,abbé Prévost,,1810,1,,
"Histoire d'un pensionnat de jeunes demoiselles, ou tableau des résultats d'une fausse éducation",A. Caillot,,1809,3,,
"Histoire d'un perroquet, écrite sous sa dictée",Cahaise,,1802,,,
Histoire d'un poignard français; anecdote de la révolution ,anonyme,,1803,,,
Histoire du Petit Jéhan de Saintré et de la Dame des Belles Cousines,anonyme,,,,,
"Histoire du sage Danischmend, favori du sultan Schagebal, et des trois Calenders",Wieland,anonyme,1800,,,
Histoire du vaillant chevalier Tiran Le Blanc,M. de Caylus,,1775,,,
Histoire et aventures de Williams Pikle,anonyme,anonyme,1787,,,
Histoire morale et véritable de quatre pensionnaires du couvent de ***,madame L. F. Ch. V. de B.,,1808,,,
"Histoire, on aventures de Joseph Andrews et de son ami Abrabam Adams",Henry Fielding,M. Lunier,1807,1,,
Homme (l') à projets,Pigault-Lebrun,,1819,1,,
Homme (l') au masque de fer,Regnault-Warin,,1804,2,,
"Homme (l') du mystère, ou histoire de Melmoth le voyageur",M. Mathurin,madame E. F. B.,1821,,,
"Homme (I') ou le tableau de la vie histoire des passions, des vertus et des événements de tous les âges",la P***,,1775,,,
Homme (l') sauvage,Mercier,,1767,,,
"Homme (l') sorti du sépulchre, histoire dont la jalousie et la cabale ont étouffé la publicité",Taboureau de Montigny,,,,,
"Hommes (les) volants, ou les aventures de Pierre Wilkins",anonyme,anonyme,1763,,,
"Honorine Clarins, histoire américaine",Nougaret,,1796,3,,
"Honorine et d'Olbois, ou la voyageuse testamentaire ",anonyme,,1802,,,
"Hortence de Ranville, ou la jeune veuve",M. B. ,,1820,,,
Hubert de Sevrac,Marie Robinson,Cantwel,1797,,,
"Huit jours d'absence, ou l'hospice du Mont-Cenis",St.-Thomas,,1821,2,,
"Hussard (le), ou la famille de Falkenstein",Auguste Lafontaine,madame Elise Voïard,1819,1,,
"Hyppolite, ou l'enfant sauvage ",anonyme,,1801,,,
"Ida, roman imité de l'allemand",M. de Rougemont,,1821,,,
Ildefonse; imité de l'allemand,J. F. Fontallard,,1802,,,
"Ile (l') de Wight, ou Charles et Angélina",Walkenaer,,1813,2,,
"Ile (l') inconnue, ou mémoires du chevalier de Gastines",Grivel,,1812,3,,
